tail,head,uberPos,uberNeg
146,63,none,none
63,146,none,none
63,143,none,none
143,63,none,none
144,143,none,none
143,144,none,none
145 147,148,none,none
144 149,152 150,none,none
152 150,144 149,none,none
151,152,none,none
152,151,none,none
138,139,none,none
139,61,none,none
61,139,none,none
139,142,none,none
142,140,none,none
140,151,none,none
150,151,none,none
151,150,none,none
144,145,none,none
145,144,none,none
144 149,147 61,none,none
147 61,144 149,none,none
146,158,none,none
158,146,none,none
158,157,none,none
157,158,none,none
157,215,none,none
240,235 215,none,none
235 215,240,none,none
236,235,none,none
235,236,none,none
236,237,none,none
237,236,none,none
238,237,none,none
237,238,none,none
238,234,none,none
234,238,none,none
192 234,243,none,none
243,192 234,none,none
241,243,none,none
243,241,none,none
240,241,none,none
241,240,none,none
222,221,none,none
221,220,none,none
220,234,none,none
230,229,none,none
229,230,none,none
229,215,none,none
215,229,none,none
63,210,none,none
210,211,none,none
211,212,none,none
209 205,212 126,none,none
207,206,none,none
206,205,none,none
241,208 238,none,none
150,159,none,none
159,150,none,none
212,162 157,none,none
190,191,none,none
212,248,none,none
248 187,249,none,none
157,235,none,none
243,234,none,none
236,208 215,none,none
208 215,236,none,none
236,157,none,none
157,236,none,none
144,141,none,none
219,215,none,none
215,293,none,none
293,215,none,none
296,293,none,none
293,296,none,none
296,215,none,none
236,235,none,none
304,305,none,none
